left,top,width,height,lines_combine,detected_as,group
496,933,417,2906,"commitments and risk management. AES is a sophisticated suite, of algorithmic trading strategies, tools and analytics that facili-, tates global trading across equities, options, futures and foreign, exchange. By employing algorithms to execute client orders and, limit volatility, AES helps institutions and hedge funds reduce, market impact.",text,1
2654,934,360,1502,"Equity capital markets originates, syndicates and underwrites, equity in initial public offerings (‘IPOs’), common and convertible, stock issues, acquisition financing and other equity issues.",text,2
2652,1333,297,68,Advisory,title,3
2654,1431,439,1116,"CSi advisory advises clients on all aspects of M&A, corporate, sales, restructurings, divestitures, spin-offs and takeover defence, strategies.",text,3
496,1632,404,1745,"Prime offers hedge funds and institutional clients execution,, financing, custody, clearing and risk advisory services across var-, ious asset classes through synthetic financing and listed over the, counter (‘OTC’) derivatives.",text,4
2656,1830,315,125,Business Strategy,title,5
2654,1930,586,1874,"Effective 1 August 2020, the globally-integrated, client-centric, platform consolidates sales and trading, underwriting and advi-, sory capabilities enabling IB to achieve critical scale, maximise, global connectivity and reduce earnings volatility.",text,5
497,2131,210,57,Credit,title,6
497,2229,273,629,Credit is made up of both Global Credit Products (‘GCP’) and,text,6
495,2330,411,8300,"Securitised Products. GCP is a client focused franchise that, offers expert coverage in credit trading, sales and financing. CSi, offers private and public debt offerings across the credit spec-, trum, including leveraged loans, high yield and investment graded, cash as well as systematic trading. GCP is a leading market, maker in the credit derivatives market including credit default, swap (‘CDS’) index suite, liquid single-name credit default swaps,, sovereign CDS and credit default swaptions. CSi offers a com-, prehensive range of financing options for credit products including, committed financing (bridge and mezzanine finance), repurchase, agreements, short covering, total return swaps and portfolio, lending. The Collateralised Loan Obligations (‘CLO’) origination, business structures, prices and distributes new CLO issues. GCP, customers include financial sponsors and corporate issuers as, well as hedge funds, banks, insurance and pension companies,, asset managers and CLO managers.",text,6
2652,2430,347,1065,"The structural changes make |B well positioned to grow revenues, and deliver sustainable returns while maintaining capital discipline.",title,7
2652,2630,349,2593,"Focus remains on maintaining leading market shares as well as, investing in growth areas. The strategy includes increasing M&A, footprint in the high growth technology and healthcare sectors,, developing tailored products and solutions across ESG and pri-, vate markets and investing in electronic technology.",text,7
2654,3227,196,57,Other,title,8
2654,3327,347,125,Corporate Centre,text,8
2654,3426,318,536,Corporate Centre includes the Asset Resolution Unit (‘ARU’). The,text,8
2652,3526,407,1884,"ARU’s core mandate is proactive risk management of a legacy, non-strategic portfolio. Certain activities not linked to the underly-, ing portfolio such as legacy litigation provisions are also recorded, in corporate centre.",text,8
2657,4015,386,374,European Union (‘EU’) Exit Strategy,text,9
495,4026,437,4000,"Securitised products provide asset and portfolio advisory ser-, vices, structures and executes new issue securitisations and, provides full scope financing solutions (warehouse, bridge and, acquisition) to global clients. CSi has experience in a broad range, of asset categories including consumer, commercial, residential,, commercial real estate, transportation and alternatives. CSi's, trading platform also provides liquidity through secondary trading, to clients across the broad range of asset categories.",text,10
2652,4226,321,2036,"The United Kingdom left the EU on 31 January 2020, with com-, pletion of the Transition Period on 31 December 2020, resulting, in CSi, a UK based bank, losing access to certain EU clients and, markets.",text,11
2654,4725,416,1213,"CS group prepared for a ‘Hard Exit’, assuming financial services, could not rely on a broad equivalence determination by the EU.",title,12
2652,4924,374,2121,"Ahead of 31 December 2020 deadline, CS group successfully, executed a group-wide plan, utilising existing legal entities to build, out trading capabilities and market access across a multi-entity, structure enabling continued access to the European Economic",text,12
2652,5322,301,942,"Area (‘EEA’) clients and markets. In particular, CSi migrated busi-, nesses to the following CS entities:",text,12
2660,5522,413,1461,"® broker/dealer in Spain, CSSSV, for trading activities (Markets, in Financial Instruments Directive (‘MIFID’) products and ser-, vices), with branches in Amsterdam, Stockholm, Paris and",text,12
2751,5823,173,65,Milan;,text,12
2660,5921,433,540,"® banking entity in Germany, Credit Suisse (Deutschland) AG",text,12
2749,6021,567,330,"(‘CSD’), for lending products/services; and",text,12
2660,6122,372,1014,"#® CSi currently has branches in Amsterdam, Stockholm, Madrid, and Milan. The businesses in the Amsterdam, Stockholm and",text,12
2751,6321,335,504,Milan branches were transferred to branches of CSSSV during,text,12
2748,6421,186,57,2020.,text,12
497,4924,145,57,GTS,title,13
497,5024,388,1711,"GTS is a cross-asset integrated platform formed in 2020 driving, collaboration across the IB, APAC, IWM and SUB divisions. GTS, brings together Equity Derivatives and Fixed Income and Wealth",text,13
496,5323,380,1847,"Management Sales and Execution businesses from across ITS, and APAC Markets. It merges the regional and global models, to ensure a robust, cohesive product and sales engine to drive, growth and efficiencies.",text,13
497,5822,273,124,Capital Markets,title,14
496,5922,397,2842,"Debt capital markets originates, syndicates and underwrites, corporate and sovereign debt, including investments grade and, leveraged loans, investment grade and high yield bonds and unit, transactions. It also provides committed acquisition financing,, including leveraged loan, bridge finance and mezzanine finance, and collateralised loan obligation formation.",text,14
2863,6739,335,478,Strategic Report Credit Suisse International at a glance 11,text,15
